Rk,Date,,Opponent,Result,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Total Yds,Yds/Play,First Downs (Pass),First Downs (Rush),First Downs (Pen),First Downs (Tot),Penalties,Penalties (Yds),Fum,Int,TO,Year,D Pass Cmp,D Pass Att,D Pass Pct,D Pass Yds,D Pass TD,D Rush Att,D Rush Yds,D Rush Avg,D Rush TD,D Plays,D Total Yards,D Yds/Play,D First Downs (Pass),D First Downs (Rush),D First Downs (Pen),D First Downs (Tot),D Penalties,D Penalty Yds,D Fum,D Int,D TO
2,2000-09-02,@,Virginia,W (38-35),34,42,81,447,2,34,93,2.7,3,76,540,7.1,15,10,0,25,6,45,1,2,3,2000,13,23,56.5,217,1,42,270,6.4,4,65,487,7.5,9,10,0,19,2,15,0,1,1
3,2000-09-09,@,Air Force,L (23-31),18,40,45,235,1,26,125,4.8,1,66,360,5.5,12,8,1,21,5,32,2,1,3,2000,11,16,68.8,203,4,53,186,3.5,0,69,389,5.6,9,7,2,18,7,45,0,0,0
4,2000-09-14,,Mississippi State,L (28-44),27,50,54,268,2,32,74,2.3,2,82,342,4.2,13,6,8,27,7,57,2,2,4,2000,13,20,65,167,1,32,217,6.8,2,52,384,7.4,5,9,0,14,16,132,2,0,2
5,2000-09-23,,Nevada-Las Vegas,W (10-7),15,29,51.7,157,0,47,196,4.2,1,76,353,4.6,4,15,0,19,6,57,0,1,1,2000,11,17,64.7,202,0,33,41,1.2,1,50,243,4.9,6,4,0,10,1,5,1,1,2
6,2000-09-30,@,Syracuse,L (14-42),24,44,54.5,272,2,21,21,1,0,65,293,4.5,15,1,3,19,8,42,1,0,1,2000,10,12,83.3,228,2,50,224,4.5,4,62,452,7.3,7,9,0,16,8,61,0,0,0
7,2000-10-06,,Utah State,W (38-14),25,39,64.1,335,1,38,198,5.2,4,77,533,6.9,16,11,2,29,4,45,0,0,0,2000,22,34,64.7,209,1,25,11,0.4,1,59,220,3.7,11,3,2,16,3,35,1,0,1
8,2000-10-21,,San Diego State,L (15-16),34,58,58.6,376,1,34,63,1.9,0,92,439,4.8,21,4,2,27,11,159,1,0,1,2000,14,30,46.7,239,0,28,70,2.5,2,58,309,5.3,8,6,2,16,4,50,2,0,2
9,2000-10-26,,Wyoming,W (19-7),22,34,64.7,225,0,40,128,3.2,2,74,353,4.8,8,10,0,18,5,50,3,1,4,2000,19,30,63.3,169,1,36,68,1.9,0,66,237,3.6,11,6,1,18,5,21,1,4,5
10,2000-11-02,@,Colorado State,L (21-45),18,41,43.9,120,1,16,57,3.6,2,57,177,3.1,6,3,0,9,8,56,2,3,5,2000,19,31,61.3,298,3,43,165,3.8,3,74,463,6.3,11,9,2,22,3,25,3,0,3
11,2000-11-18,,New Mexico,W (37-13),21,35,60,349,0,44,149,3.4,4,79,498,6.3,16,5,1,22,5,52,1,1,2,2000,11,28,39.3,178,1,33,90,2.7,0,61,268,4.4,7,6,1,14,8,65,2,0,2
12,2000-11-24,@,Utah,W (34-27),16,29,55.2,284,1,42,100,2.4,2,71,384,5.4,9,8,4,21,7,69,0,1,1,2000,16,34,47.1,252,1,30,70,2.3,1,64,322,5,9,4,1,14,7,84,1,1,2
