Rk,Date,,Opponent,Result,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Total Yds,Yds/Play,First Downs (Pass),First Downs (Rush),First Downs (Pen),First Downs (Tot),Penalties,Penalties (Yds),Fum,Int,TO,Year,D Pass Cmp,D Pass Att,D Pass Pct,D Pass Yds,D Pass TD,D Rush Att,D Rush Yds,D Rush Avg,D Rush TD,D Plays,D Total Yards,D Yds/Play,D First Downs (Pass),D First Downs (Rush),D First Downs (Pen),D First Downs (Tot),D Penalties,D Penalty Yds,D Fum,D Int,D TO
8,2002-10-24,@,Colorado State,L (10-37),17,26,65.4,148,0,29,65,2.2,1,55,213,3.9,7,4,0,11,2,12,3,1,4,2002,11,23,47.8,151,0,56,342,6.1,4,79,493,6.2,6,18,0,24,2,10,1,0,1
9,2002-11-02,,San Diego State,W (34-10),20,33,60.6,289,3,36,114,3.2,1,69,403,5.8,10,6,1,17,11,96,1,3,4,2002,26,46,56.5,228,1,28,18,0.6,0,74,246,3.3,13,2,3,18,6,24,1,1,2
10,2002-11-09,,Wyoming,W (35-31),31,45,68.9,360,3,46,172,3.7,2,91,532,5.8,19,10,1,30,5,46,1,2,3,2002,21,36,58.3,283,1,30,76,2.5,2,66,359,5.4,13,4,1,18,2,21,1,1,2
11,2002-11-16,,New Mexico,L (16-20),11,32,34.4,94,0,30,94,3.1,0,62,188,3,7,3,0,10,6,29,0,2,2,2002,11,22,50,155,1,49,145,3,2,71,300,4.2,5,8,1,14,4,37,1,2,3
12,2002-11-23,@,Utah,L (6-13),20,34,58.8,237,0,23,-2,-0.1,0,57,235,4.1,10,1,2,13,8,80,2,1,3,2002,18,26,69.2,164,0,53,175,3.3,1,79,339,4.3,11,12,2,25,5,55,0,1,1
1,2001-08-25,,Tulane,W (70-35),27,33,81.8,297,3,49,437,8.9,7,82,734,9,12,17,1,30,7,68,1,0,1,2001,23,49,46.9,289,3,43,219,5.1,2,92,508,5.5,13,13,1,27,5,35,0,1,1
2,2001-09-01,,Nevada,W (52-7),25,40,62.5,389,2,38,209,5.5,5,78,598,7.7,17,9,0,26,5,30,0,0,0,2001,15,28,53.6,127,0,36,160,4.4,1,64,287,4.5,7,10,0,17,7,45,0,1,1
3,2001-09-08,@,California,W (44-16),19,28,67.9,295,3,35,193,5.5,3,63,488,7.7,11,12,3,26,10,98,0,0,0,2001,23,38,60.5,291,2,36,120,3.3,0,74,411,5.6,16,7,3,26,9,105,2,1,3
4,2001-09-29,@,Nevada-Las Vegas,W (35-31),23,38,60.5,281,2,35,167,4.8,2,73,448,6.1,10,14,2,26,6,44,3,1,4,2001,11,18,61.1,132,0,49,189,3.9,3,67,321,4.8,7,10,1,18,3,34,1,2,3
5,2001-10-05,,Utah State,W (54-34),25,35,71.4,304,4,42,259,6.2,4,77,563,7.3,12,15,3,30,12,131,0,1,1,2001,25,43,58.1,283,2,33,143,4.3,3,76,426,5.6,15,9,2,26,13,141,0,2,2
6,2001-10-13,@,New Mexico,W (24-20),22,41,53.7,258,3,31,107,3.5,0,72,365,5.1,11,8,1,20,2,10,0,0,0,2001,18,35,51.4,180,1,48,198,4.1,1,83,378,4.6,9,14,0,23,4,40,0,3,3
7,2001-10-20,,Air Force,W (63-33),27,43,62.8,408,5,37,203,5.5,4,80,611,7.6,20,8,1,29,4,29,0,0,0,2001,12,22,54.5,168,1,52,334,6.4,4,74,502,6.8,6,15,0,21,5,37,0,1,1
8,2001-10-27,@,San Diego State,W (59-21),19,24,79.2,266,3,37,184,5,3,61,450,7.4,9,8,3,20,4,36,2,0,2,2001,14,33,42.4,130,1,41,285,7,2,74,415,5.6,6,13,0,19,8,88,2,3,5
9,2001-11-01,,Colorado State,W (56-34),21,27,77.8,284,1,45,410,9.1,7,72,694,9.6,13,20,0,33,10,83,1,1,2,2001,12,26,46.2,158,1,58,440,7.6,2,84,598,7.1,7,19,3,29,6,48,1,3,4
10,2001-11-10,@,Wyoming,W (41-34),23,38,60.5,268,1,41,247,6,4,79,515,6.5,16,8,0,24,6,40,3,1,4,2001,24,52,46.2,358,1,37,118,3.2,3,89,476,5.3,15,7,1,23,5,45,0,1,1
11,2001-11-17,,Utah,W (24-21),21,42,50,270,2,32,180,5.6,1,74,450,6.1,11,10,0,21,6,79,1,1,2,2001,16,32,50,189,1,46,168,3.7,2,78,357,4.6,10,10,3,23,5,26,1,1,2
12,2001-12-01,@,Mississippi State,W (41-38),23,32,71.9,390,5,43,139,3.2,0,75,529,7.1,14,11,3,28,9,70,1,3,4,2001,20,28,71.4,346,3,27,160,5.9,2,55,506,9.2,11,6,2,19,10,127,2,1,3
13,2001-12-08,@,Hawaii,L (45-72),40,65,61.5,515,5,40,97,2.4,1,105,612,5.8,24,8,6,38,12,110,6,1,7,2001,29,52,55.8,543,8,21,103,4.9,0,73,646,8.8,20,8,3,31,15,168,4,1,5
1,2000-08-26,@,Florida State,L (3-29),18,46,39.1,227,0,24,-2,-0.1,0,70,225,3.2,17,5,3,25,11,93,0,3,3,2000,32,51,62.7,318,2,36,57,1.6,2,87,375,4.3,11,1,6,18,10,90,1,0,1
